Time	Data
11568	37.91117
11569	37.87401
11570	37.83631
11571	37.80008
11572	37.76723
11573	37.73945
11574	37.71812
11575	37.70421
11576	37.69823
11577	37.70019
11578	37.70961
11579	37.72557
11580	37.74673
11581	37.77144
11582	37.79782
11583	37.82386
11584	37.84757
11585	37.86705
11586	37.88061
11587	37.88688
11588	37.88488
11589	37.87406
11590	37.85438
11591	37.82628
11592	37.79071
11593	37.74906
11594	37.70315
11595	37.6551
11596	37.60726
11597	37.56212
11598	37.52215
11599	37.48967
11600	37.46677
11601	37.45512
11602	37.45593
11603	37.46979
11604	37.49666
11605	37.53579
11606	37.58576
11607	37.64448
11608	37.70926
11609	37.77697
11610	37.84411
11611	37.90703
11612	37.96207
11613	38.0058
11614	38.03516
11615	38.04768
11616	38.04159
11617	38.01596
11618	37.97076
11619	37.90688
11620	37.82608
11621	37.73095
11622	37.62474
11623	37.51122
11624	37.39444
11625	37.27858
11626	37.16766
11627	37.06538
11628	36.97493
11629	36.89885
11630	36.83891
11631	36.79608
11632	36.77056
11633	36.76178
11634	36.76854
11635	36.78913
11636	36.82152
11637	36.86346
11638	36.91271
11639	36.96716
11640	37.02492
11641	37.08445
11642	37.14453
11643	37.20433
11644	37.26327
11645	37.32103
11646	37.37737
11647	37.43209
11648	37.48483
11649	37.53507
11650	37.58198
11651	37.62444
11652	37.66105
11653	37.69018
11654	37.71004
11655	37.71887
11656	37.71509
11657	37.69741
11658	37.66508
11659	37.61796
11660	37.55669
11661	37.4827
11662	37.39824
11663	37.30631
11664	37.21056
11665	37.11508
11666	37.02422
11667	36.9423
11668	36.87339
11669	36.82102
11670	36.78796
11671	36.77604
11672	36.78601
11673	36.81748
11674	36.86895
11675	36.93787
11676	37.02083
11677	37.11375
11678	37.21214
11679	37.31139
11680	37.40705
11681	37.49509
11682	37.57215
11683	37.6357
11684	37.68417
11685	37.71696
11686	37.73447
11687	37.73797
11688	37.72943
11689	37.71135
11690	37.68652
11691	37.65779
11692	37.62785
11693	37.599
11694	37.57303
11695	37.55108
11696	37.53364
11697	37.5205
11698	37.5109
11699	37.50358
11700	37.49698
11701	37.48942
11702	37.47925
11703	37.46508
11704	37.44589
11705	37.42115
11706	37.39092
11707	37.35585
11708	37.31712
11709	37.27641
11710	37.23574
11711	37.19732
11712	37.1634
11713	37.13609
11714	37.11717
11715	37.10797
11716	37.10926
11717	37.12118
11718	37.14321
11719	37.17417
11720	37.21235
11721	37.25555
11722	37.30123
11723	37.34669
11724	37.38921
11725	37.42621
11726	37.45541
11727	37.47496
11728	37.48355
11729	37.48044
11730	37.46553
11731	37.43935
11732	37.40301
11733	37.35814
11734	37.30677
11735	37.25126
11736	37.19415
11737	37.13805
11738	37.08548
11739	37.03876
11740	36.99995
11741	36.97069
11742	36.95219
11743	36.94515
11744	36.94975
11745	36.96566
11746	36.99205
11747	37.02767
11748	37.07085
11749	37.11965
11750	37.17191
11751	37.22537
11752	37.27778
11753	37.32697
11754	37.37097
11755	37.40812
11756	37.43708
11757	37.45691
11758	37.46713
11759	37.46765
11760	37.45884
11761	37.44141
11762	37.41642
11763	37.38513
11764	37.34899
11765	37.3095
11766	37.26815
11767	37.22631
11768	37.18521
11769	37.14585
11770	37.109
11771	37.07518
11772	37.0447
11773	37.01766
11774	36.99405
11775	36.97375
11776	36.95666
11777	36.9427
11778	36.93188
11779	36.92432
11780	36.92025
11781	36.92005
11782	36.92412
11783	36.93292
11784	36.94683
11785	36.96613
11786	36.99088
11787	37.0209
11788	37.05567
11789	37.09439
11790	37.13588
11791	37.17872
11792	37.22125
11793	37.26169
11794	37.29826
11795	37.32931
11796	37.35341
11797	37.36954
11798	37.37711
11799	37.37607
11800	37.36695
11801	37.35079
11802	37.32912
11803	37.30387
11804	37.27719
11805	37.25132
11806	37.22841
11807	37.21037
11808	37.19865
11809	37.1942
11810	37.19733
11811	37.20767
11812	37.22422
11813	37.24541
11814	37.2692
11815	37.29326
11816	37.31515
11817	37.33251
11818	37.34324
11819	37.34572
11820	37.33889
11821	37.32238
11822	37.29652
11823	37.26233
11824	37.22145
11825	37.17599
11826	37.1284
11827	37.08122
11828	37.03694
11829	36.99778
11830	36.96553
11831	36.94142
11832	36.92602
11833	36.91929
11834	36.9205
11835	36.92842
11836	36.94138
11837	36.95746
11838	36.97466
11839	36.99108
11840	37.00505
11841	37.0153
11842	37.02103
11843	37.02194
11844	37.01823
11845	37.01054
11846	36.99982
11847	36.98725
11848	36.97403
11849	36.96129
11850	36.94991
11851	36.94041
11852	36.93294
11853	36.9272
11854	36.92248
11855	36.91777
11856	36.91185
11857	36.90341
11858	36.89126
11859	36.87445
11860	36.85241
11861	36.82505
11862	36.79284
11863	36.75677
11864	36.71836
11865	36.6795
11866	36.64236
11867	36.60917
11868	36.58203
11869	36.56274
11870	36.55263
11871	36.55239
11872	36.56202
11873	36.58075
11874	36.60716
11875	36.63919
11876	36.67434
11877	36.70983
11878	36.74288
11879	36.77084
11880	36.79151
11881	36.80322
11882	36.80505
11883	36.79685
11884	36.77928
11885	36.75371
11886	36.72218
11887	36.68714
11888	36.6513
11889	36.6174
11890	36.58796
11891	36.56512
11892	36.55042
11893	36.54478
11894	36.54837
11895	36.56064
11896	36.58046
11897	36.60617
11898	36.63579
11899	36.66722
11900	36.69841
11901	36.72758
11902	36.75331
11903	36.77471
11904	36.79143
11905	36.80367
11906	36.81208
11907	36.8177
11908	36.82178
11909	36.8256
11910	36.83031
11911	36.83679
11912	36.8455
11913	36.85642
11914	36.86902
11915	36.88229
11916	36.89483
11917	36.90502
11918	36.91115
11919	36.9116
11920	36.90509
11921	36.89077
11922	36.8684
11923	36.83841
11924	36.80189
11925	36.76059
11926	36.71675
11927	36.67296
11928	36.63196
11929	36.59639
11930	36.56858
11931	36.55031
11932	36.54268
11933	36.54595
11934	36.55954
11935	36.58202
11936	36.61122
11937	36.64438
11938	36.6784
11939	36.71003
11940	36.7362
11941	36.7542
11942	36.76192
11943	36.75804
11944	36.74209
11945	36.71451
11946	36.67659
11947	36.63034
11948	36.57831
11949	36.52342
11950	36.46865
11951	36.41685
11952	36.37047
11953	36.33145
11954	36.301
11955	36.27964
11956	36.26713
11957	36.2626
11958	36.26465
11959	36.27154
11960	36.2814
11961	36.29245
11962	36.30313
11963	36.31234
11964	36.31948
11965	36.32453
11966	36.32804
11967	36.33102
11968	36.33485
11969	36.34106
11970	36.3512
11971	36.36659
11972	36.38817
11973	36.41635
11974	36.45095
11975	36.4911
11976	36.53535
11977	36.58172
11978	36.62787
11979	36.67125
11980	36.70937
11981	36.73995
11982	36.76115
11983	36.77173
11984	36.77111
11985	36.75945
11986	36.73763
11987	36.70713
11988	36.66992
11989	36.62826
11990	36.58449
11991	36.54085
11992	36.49923
11993	36.4611
11994	36.42732
11995	36.39818
11996	36.37335
11997	36.35205
11998	36.33312
11999	36.31524
12000	36.29713
12001	36.27776
12002	36.2565
12003	36.23329
12004	36.2087
12005	36.18393
12006	36.16077
12007	36.14145
12008	36.12842
12009	36.12416
12010	36.13088
12011	36.15026
12012	36.18325
12013	36.22987
12014	36.28909
12015	36.35883
12016	36.43603
12017	36.51679
12018	36.59663
12019	36.67078
12020	36.73454
12021	36.78362
12022	36.81451
12023	36.82474
12024	36.81313
12025	36.77991
12026	36.72676
12027	36.65673
12028	36.57403
12029	36.48379
12030	36.39168
12031	36.30354
12032	36.22496
12033	36.16087
12034	36.11525
12035	36.09081
12036	36.08883
12037	36.1091
12038	36.14997
12039	36.20847
12040	36.28056
12041	36.36146
12042	36.44598
12043	36.52893
12044	36.60543
12045	36.67129
12046	36.72323
12047	36.75908
12048	36.77783
12049	36.7797
12050	36.76596
12051	36.73879
12052	36.70106
12053	36.65605
12054	36.60716
12055	36.55766
12056	36.51041
12057	36.46773
12058	36.43123
12059	36.40174
12060	36.37939
12061	36.3636
12062	36.35329
12063	36.34696
12064	36.34293
12065	36.3395
12066	36.33514
